target,holdout,D,train_accuracy,valid_accuracy,test_accuracy,train_macro_f1,valid_macro_f1,test_macro_f1,test_balanced_accuracy,explained_variance,classification_valid,unseen_test_classes
superfamily_label,family_holdout,768,0.9333983105912931,0.40217391304347827,0.9787735849056604,0.6613178084633929,0.2330619088358674,0.9430309214521875,0.9626694649491002,0.9909389,True,0
superfamily_label,family_holdout,1024,0.9357537361923327,0.4048913043478261,0.9787735849056604,0.6722822131900996,0.23390872875848975,0.9430309214521875,0.9626694649491002,0.99726164,True,0
superfamily_label,family_holdout,1280,0.936809616634178,0.4048913043478261,0.9787735849056604,0.6755831249387015,0.23445342930319024,0.9430309214521875,0.9626694649491002,0.9999999,True,0
superfamily_label,superfamily_holdout,32,0.5471085120207927,0.125,0.17783094098883573,0.19941053009335877,0.04708198646285153,0.06452740363704074,0.09366640513270452,0.76713604,True,0
superfamily_label,superfamily_holdout,64,0.7284762833008447,0.19701086956521738,0.2623604465709729,0.3465613367404647,0.09916009796831105,0.11147948030907028,0.14693608691814738,0.83210516,True,0
superfamily_label,superfamily_holdout,128,0.8546133853151398,0.3016304347826087,0.41068580542264754,0.4949096729812415,0.15758745917240252,0.19860156579681695,0.2541067772723623,0.8901831,True,0
superfamily_label,superfamily_holdout,256,0.9044834307992202,0.36684782608695654,0.5231259968102073,0.5819400147231029,0.20290887330595578,0.2879122779455324,0.3497989892470838,0.9395798,True,0
superfamily_label,superfamily_holdout,512,0.9263320337881742,0.3967391304347826,0.5606060606060606,0.6366750801660628,0.22528913825589014,0.3248368774598207,0.39211526001768715,0.9767876,True,0
superfamily_label,superfamily_holdout,768,0.9333983105912931,0.40217391304347827,0.5677830940988836,0.6613178084633929,0.2330619088358674,0.34190355541504336,0.4045555853823851,0.9909389,True,0
superfamily_label,superfamily_holdout,1024,0.9357537361923327,0.4048913043478261,0.5741626794258373,0.6722822131900996,0.23390872875848975,0.35256713386002986,0.4148990670373421,0.99726164,True,0
superfamily_label,superfamily_holdout,1280,0.936809616634178,0.4048913043478261,0.5773524720893142,0.6755831249387015,0.23445342930319024,0.35890545104549487,0.42192482816146387,0.9999999,True,0
superfamily_label,fold_holdout,32,,,,,,,,0.76713604,False,361
superfamily_label,fold_holdout,64,,,,,,,,0.83210516,False,361
superfamily_label,fold_holdout,128,,,,,,,,0.8901831,False,361
superfamily_label,fold_holdout,256,,,,,,,,0.9395798,False,361
superfamily_label,fold_holdout,512,,,,,,,,0.9767876,False,361
superfamily_label,fold_holdout,768,,,,,,,,0.9909389,False,361
superfamily_label,fold_holdout,1024,,,,,,,,0.99726164,False,361
superfamily_label,fold_holdout,1280,,,,,,,,0.9999999,False,361
family_label,family_holdout,32,0.5341130604288499,0.036684782608695655,0.7083333333333334,0.21270827068568643,0.012788081896695117,0.5251440407023512,0.5653286517099051,0.76713604,True,0
family_label,family_holdout,64,0.7014294996751137,0.06114130434782609,0.8443396226415094,0.3692556419354517,0.027190504034998925,0.7202973670262568,0.7510297601102546,0.83210516,True,0
family_label,family_holdout,128,0.8150584795321637,0.07065217391304347,0.925314465408805,0.5100834301486143,0.030251180510933454,0.8511873659293782,0.8718067698388772,0.8901831,True,0
family_label,family_holdout,256,0.8746751137102015,0.07472826086956522,0.9551886792452831,0.6148728427654175,0.030712798707188606,0.9036030357367779,0.9266454795162965,0.9395798,True,0
family_label,family_holdout,512,0.9039148797920727,0.07472826086956522,0.9583333333333334,0.6830956879397804,0.033104943807819205,0.9071276993912866,0.9322906408066192,0.9767876,True,0
family_label,family_holdout,768,0.914311241065627,0.07608695652173914,0.960691823899371,0.7106304954865722,0.03422302694353704,0.9094885299414555,0.9349788128496298,0.9909389,True,0
family_label,family_holdout,1024,0.9190220922677063,0.07744565217391304,0.9622641509433962,0.7225960928009448,0.03495338702345072,0.9146160503368532,0.9373981676883395,0.99726164,True,0
family_label,family_holdout,1280,0.9212962962962963,0.07744565217391304,0.9622641509433962,0.7283617229240539,0.034680666334961134,0.9117578751795508,0.9373981676883395,0.9999999,True,0
family_label,superfamily_holdout,32,,,,,,,,0.76713604,False,791
family_label,superfamily_holdout,64,,,,,,,,0.83210516,False,791
family_label,superfamily_holdout,128,,,,,,,,0.8901831,False,791
family_label,superfamily_holdout,256,,,,,,,,0.9395798,False,791
family_label,superfamily_holdout,512,,,,,,,,0.9767876,False,791
family_label,superfamily_holdout,768,,,,,,,,0.9909389,False,791
family_label,superfamily_holdout,1024,,,,,,,,0.99726164,False,791
family_label,superfamily_holdout,1280,,,,,,,,0.9999999,False,791
family_label,fold_holdout,32,,,,,,,,0.76713604,False,398
family_label,fold_holdout,64,,,,,,,,0.83210516,False,398
family_label,fold_holdout,128,,,,,,,,0.8901831,False,398
family_label,fold_holdout,256,,,,,,,,0.9395798,False,398
family_label,fold_holdout,512,,,,,,,,0.9767876,False,398
family_label,fold_holdout,768,,,,,,,,0.9909389,False,398
family_label,fold_holdout,1024,,,,,,,,0.99726164,False,398
family_label,fold_holdout,1280,,,,,,,,0.9999999,False,398
