target,holdout,metric,utility_threshold,baseline_D,baseline_metric,required_metric,minimum_D,achieved_metric,achieved_utility_retention,storage_reduction_pct,compression_ratio
fold_label,family_holdout,test_accuracy,0.95,1280,0.9795597484276729,0.9305817610062892,128,0.9520440251572327,0.9719101123595506,90.0,10.0
fold_label,family_holdout,test_accuracy,0.99,1280,0.9795597484276729,0.9697641509433962,256,0.9716981132075472,0.9919743178170145,80.0,5.0
fold_label,family_holdout,test_accuracy,0.995,1280,0.9795597484276729,0.9746619496855345,512,0.97562893081761,0.9959871589085072,60.0,2.5
fold_label,family_holdout,test_macro_f1,0.95,1280,0.9497071698855231,0.9022218113912469,256,0.9251650660913936,0.9741582410111869,80.0,5.0
fold_label,family_holdout,test_macro_f1,0.99,1280,0.9497071698855231,0.9402100981866678,512,0.9421810314615624,0.9920753063021859,60.0,2.5
fold_label,family_holdout,test_macro_f1,0.995,1280,0.9497071698855231,0.9449586340360955,768,0.9497071698855231,1.0,40.0,1.6666666666666667
fold_label,family_holdout,test_balanced_accuracy,0.95,1280,0.960265817394751,0.9122525265250134,256,0.9390460348755334,0.9779021786105143,80.0,5.0
fold_label,family_holdout,test_balanced_accuracy,0.99,1280,0.960265817394751,0.9506631592208035,512,0.952608180107484,0.9920255025758987,60.0,2.5
fold_label,family_holdout,test_balanced_accuracy,0.995,1280,0.960265817394751,0.9554644883077773,768,0.960265817394751,1.0,40.0,1.6666666666666667
fold_label,superfamily_holdout,test_accuracy,0.95,1280,0.6196172248803827,0.5886363636363636,512,0.6076555023923444,0.9806949806949807,60.0,2.5
fold_label,superfamily_holdout,test_accuracy,0.99,1280,0.6196172248803827,0.6134210526315789,768,0.6172248803827751,0.9961389961389963,40.0,1.6666666666666667
fold_label,superfamily_holdout,test_accuracy,0.995,1280,0.6196172248803827,0.6165191387559809,768,0.6172248803827751,0.9961389961389963,40.0,1.6666666666666667
fold_label,superfamily_holdout,test_macro_f1,0.95,1280,0.3492276981412721,0.33176631323420847,512,0.3331360322397226,0.9539221373699861,60.0,2.5
fold_label,superfamily_holdout,test_macro_f1,0.99,1280,0.3492276981412721,0.34573542115985934,768,0.3465635346335575,0.992371270887463,40.0,1.6666666666666667
fold_label,superfamily_holdout,test_macro_f1,0.995,1280,0.3492276981412721,0.3474815596505657,1024,0.3490237166462938,0.9994159068823465,19.999999999999996,1.25
fold_label,superfamily_holdout,test_balanced_accuracy,0.95,1280,0.38718800619817023,0.3678286058882617,512,0.3705622032427657,0.957060129215637,60.0,2.5
fold_label,superfamily_holdout,test_balanced_accuracy,0.99,1280,0.38718800619817023,0.38331612613618854,768,0.3848650529083661,0.994000451324375,40.0,1.6666666666666667
fold_label,superfamily_holdout,test_balanced_accuracy,0.995,1280,0.38718800619817023,0.3852520661671794,1024,0.38688106942714506,0.9992072668416592,19.999999999999996,1.25
fold_label,fold_holdout,test_accuracy,0.95,1280,0.3161559888579387,0.30034818941504177,512,0.31058495821727017,0.9823788546255505,60.0,2.5
fold_label,fold_holdout,test_accuracy,0.99,1280,0.3161559888579387,0.3129944289693593,768,0.31337047353760444,0.9911894273127753,40.0,1.6666666666666667
fold_label,fold_holdout,test_accuracy,0.995,1280,0.3161559888579387,0.31457520891364904,1024,0.3161559888579387,1.0,19.999999999999996,1.25
fold_label,fold_holdout,test_macro_f1,0.95,1280,0.12888322077953698,0.12243905974056013,512,0.12620654665243672,0.9792317874203432,60.0,2.5
fold_label,fold_holdout,test_macro_f1,0.99,1280,0.12888322077953698,0.1275943885717416,1024,0.128590138072371,0.99772598244059,19.999999999999996,1.25
fold_label,fold_holdout,test_macro_f1,0.995,1280,0.12888322077953698,0.1282388046756393,1024,0.128590138072371,0.99772598244059,19.999999999999996,1.25
fold_label,fold_holdout,test_balanced_accuracy,0.95,1280,0.17778000186088422,0.16889100176784,512,0.17545740615593555,0.9869355626018829,60.0,2.5
fold_label,fold_holdout,test_balanced_accuracy,0.99,1280,0.17778000186088422,0.17600220184227539,1024,0.17778000186088422,1.0,19.999999999999996,1.25
fold_label,fold_holdout,test_balanced_accuracy,0.995,1280,0.17778000186088422,0.1768911018515798,1024,0.17778000186088422,1.0,19.999999999999996,1.25
superfamily_label,family_holdout,test_accuracy,0.95,1280,0.9787735849056604,0.9298349056603773,128,0.9441823899371069,0.9646586345381526,90.0,10.0
superfamily_label,family_holdout,test_accuracy,0.99,1280,0.9787735849056604,0.9689858490566038,512,0.9764150943396226,0.9975903614457831,60.0,2.5
superfamily_label,family_holdout,test_accuracy,0.995,1280,0.9787735849056604,0.9738797169811321,512,0.9764150943396226,0.9975903614457831,60.0,2.5
superfamily_label,family_holdout,test_macro_f1,0.95,1280,0.9430309214521875,0.8958793753795781,256,0.914144693851803,0.9693687376062895,80.0,5.0
