target,holdout,utility_metric,baseline_D,baseline_macro_f1,retention_threshold,required_macro_f1,minimum_D,achieved_macro_f1,achieved_retention,test_accuracy,test_balanced_accuracy,storage_reduction_pct,compression_ratio,normalized_total_cost,cost_reduction_pct
fold_label,fold_holdout,test_macro_f1,1280,0.12888322077953698,0.95,0.12243905974056013,512,0.12620654665243672,0.9792317874203432,0.31058495821727017,0.17545740615593555,60.0,2.5,0.4,60.0
fold_label,fold_holdout,test_macro_f1,1280,0.12888322077953698,0.99,0.1275943885717416,1024,0.128590138072371,0.99772598244059,0.3161559888579387,0.17778000186088422,19.999999999999996,1.25,0.8,19.999999999999996
fold_label,fold_holdout,test_macro_f1,1280,0.12888322077953698,0.995,0.1282388046756393,1024,0.128590138072371,0.99772598244059,0.3161559888579387,0.17778000186088422,19.999999999999996,1.25,0.8,19.999999999999996
fold_label,superfamily_holdout,test_macro_f1,1280,0.3492276981412721,0.95,0.33176631323420847,512,0.3331360322397226,0.9539221373699861,0.6076555023923444,0.3705622032427657,60.0,2.5,0.4,60.0
fold_label,superfamily_holdout,test_macro_f1,1280,0.3492276981412721,0.99,0.34573542115985934,768,0.3465635346335575,0.992371270887463,0.6172248803827751,0.3848650529083661,40.0,1.6666666666666667,0.6,40.0
fold_label,superfamily_holdout,test_macro_f1,1280,0.3492276981412721,0.995,0.3474815596505657,1024,0.3490237166462938,0.9994159068823465,0.6188197767145136,0.38688106942714506,19.999999999999996,1.25,0.8,19.999999999999996
superfamily_label,family_holdout,test_macro_f1,1280,0.9430309214521875,0.95,0.8958793753795781,256,0.914144693851803,0.9693687376062895,0.9685534591194969,0.9386966316758703,80.0,5.0,0.2,80.0
superfamily_label,family_holdout,test_macro_f1,1280,0.9430309214521875,0.99,0.9336006122376656,512,0.9347997536390392,0.9912715822716895,0.9764150943396226,0.956995706083852,60.0,2.5,0.4,60.0
superfamily_label,family_holdout,test_macro_f1,1280,0.9430309214521875,0.995,0.9383157668449266,768,0.9430309214521875,1.0,0.9787735849056604,0.9626694649491002,40.0,1.6666666666666667,0.6,40.0
superfamily_label,superfamily_holdout,test_macro_f1,1280,0.35890545104549487,0.95,0.34096017849322013,768,0.34190355541504336,0.9526284831257791,0.5677830940988836,0.4045555853823851,40.0,1.6666666666666667,0.6,40.0
superfamily_label,superfamily_holdout,test_macro_f1,1280,0.35890545104549487,0.99,0.35531639653503994,1280,0.35890545104549487,1.0,0.5773524720893142,0.42192482816146387,0.0,1.0,1.0,0.0
superfamily_label,superfamily_holdout,test_macro_f1,1280,0.35890545104549487,0.995,0.3571109237902674,1280,0.35890545104549487,1.0,0.5773524720893142,0.42192482816146387,0.0,1.0,1.0,0.0
